idSerie,titulo,lanzamiento,resumen
1,"Game of Thrones",2011,"Es la descripcion de dos familias poderosas reyes y reinas caballeros y renegados hombres falsos y honestos haciendo parte de un juego mortal por el control de los Siete Reinados de Westeros y por sentarse en el trono mss alto."
2,"Stranger Things",2016,"Cuando un niño desaparece sus amigos la familia y la policia se ven envueltos en una serie de eventos misteriosos al tratar de encontrarlo. Su ausencia coincide con el avistamiento de una criatura terrorifica y la aparicion de una extraña niña."
3,"The Boys",2019,"Cuando los superheroes abusan de sus superpoderes en lugar de usarlos para el bien unos muchachos se embarcan en una busqueda heroica para exponer sus secretos."
4,"The Undoing",2020,"La vida de una terapeuta se desmorona despues de enterarse de que su esposo podria ser el responsable de que se haya producido una catastrofe."
5,"Malcolm in the Middle",2000,"Los Cleavers son una familia peculiar. La madre es una crontroladora radical que grita. el padre es un hombre chistoso calvo. el hijo mayor Francis huyo de la familia a corta edad. Reese es un criminal. Dewey es un cadete espacial. y el joven Jamie es un chivo expiatorio. El niño del medio es Malcolm (que se encarga de la narracion como entretenimiento sobre su clan desquiciado) es un genio que no quiere ser agotado por su ingenio."
6,"Chernobyl",2019,"Valientes hombres y mujeres luchan por mitigar los daños de la catástrofe nuclear de Chernóbil ocurrida el 25 de abril de 1986."
7,"Gambito de Dama",2020,"La huerfana y prodigio del ajedrez Beth Harmon lucha contra la adiccion mientras busca convertirse en la mejor jugadora de ajedrez del mundo."
8,"Dark",2017,"La desaparicion de dos niños muestra los vinculos entre cuatro familias y expone el pasado de una pequeña ciudad."
9,"Sucession",2018,"La saga de una familia estadounidense ficticia dueña de un conglomerado internacional de medios que no solo es rica y poderosa sino que tambien sus miembros buscan el poder y dirigir el negocio a su manera a pesar del plan de sucesion establecido."
10,"La Casa del Dragon",2022,"La historia de la familia Targaryen 200 años antes de los eventos que tuvieron lugar en Game of Thrones."
